week_start,account_id,account_name,department,team_lead,product,tier,licensed_seats,active_users,daily_avg_logins,total_sessions,avg_session_duration_min,features_used,total_features_available,feature_adoption_pct,api_calls_monitored,alerts_configured,alerts_triggered,incidents_detected,p1_incidents,deployments_monitored,avg_deployment_cycle_hours,mttr_hours,custom_dashboards,data_exports,buyer_error_rate_pct,seat_utilization_pct,notes
2024-01-22,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,4.8,26,12.9,4,45,8.9,6234,1,0,0,0,0,,,3,0,,28.0,campaign_api_monitoring
2024-01-29,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,20,47.3,231,17.4,16,45,35.6,58539,15,2,0,0,8,85.9,3.8,2,0,0,80.0,
2024-01-29,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,10.8,22,8.8,4,45,8.9,6723,1,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-02-05,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,20,44.6,178,16.4,18,45,40.0,54938,16,3,1,0,7,88.4,3.7,3,0,0,80.0,
2024-02-05,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,8,3.0,34,8.4,4,45,8.9,5209,1,0,0,0,0,,,2,0,,32.0,campaign_api_monitoring
2024-02-12,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,22,43.1,243,21.8,20,45,44.4,57788,16,3,3,0,8,95.8,3.4,3,1,0,88.0,
2024-02-12,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,8,5.6,26,13.7,4,45,8.9,6548,1,0,0,0,0,,,2,0,,32.0,campaign_api_monitoring
2024-02-19,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,21,46.3,302,16.2,20,45,44.4,61806,17,4,0,0,6,98.7,3.7,3,0,0,84.0,enterprise_trial
2024-02-19,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,6.1,30,10.2,4,45,8.9,2509,1,0,0,0,0,,,2,0,,28.0,campaign_api_monitoring
2024-02-26,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,22,41.6,174,16.6,19,45,42.2,73795,17,2,5,0,6,87.1,3.5,3,0,0,88.0,enterprise_trial
2024-02-26,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,8,7.3,21,10.6,5,45,11.1,3761,1,0,0,0,0,,,2,0,,32.0,campaign_api_monitoring
2024-03-04,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,21,35.9,224,23.5,19,45,42.2,75421,19,5,2,0,9,88.9,4.0,3,2,0,84.0,enterprise_trial
2024-03-04,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,8,3.6,15,8.7,4,45,8.9,5398,1,0,0,0,0,,,2,0,,32.0,campaign_api_monitoring
2024-03-11,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,21,54.5,159,18.2,21,45,46.7,72822,19,2,4,0,6,83.7,3.7,3,0,0,84.0,enterprise_trial
2024-03-11,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,10,10.2,53,5.5,5,45,11.1,5115,1,0,0,0,0,,,2,0,,40.0,campaign_api_monitoring
2024-03-18,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,20,48.6,211,18.2,22,45,48.9,79653,20,4,4,0,9,94.7,3.8,3,0,0,80.0,enterprise_trial
2024-03-18,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,8.0,38,9.3,4,45,8.9,7362,1,0,0,0,0,,,3,0,,36.0,campaign_api_monitoring
2024-03-25,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,22,49.3,226,22.6,23,45,51.1,68558,21,4,6,0,9,89.9,4.2,3,0,0,88.0,enterprise_trial
2024-03-25,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,10,5.3,31,9.1,5,45,11.1,3379,1,0,0,0,0,,,2,0,,40.0,campaign_api_monitoring
2024-04-01,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,22,54.7,181,20.8,23,45,51.1,84233,21,4,3,0,8,99.7,3.5,4,3,0,88.0,enterprise_trial
2024-04-01,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,7.5,26,5.9,6,45,13.3,6140,1,0,0,0,0,,,2,0,,28.0,campaign_api_monitoring
2024-04-08,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,20,38.3,228,22.5,21,45,46.7,67444,23,5,1,0,7,81.9,4.0,4,0,0,80.0,enterprise_trial
2024-04-08,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,6.0,35,8.0,5,45,11.1,5034,1,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-04-08,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,6.0,35,8.0,5,45,11.1,5034,1,0,0,0,0,,,2,0,,36.0,possible_duplicate
2024-04-15,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,21,48.7,222,21.1,22,45,48.9,81882,23,6,4,0,9,87.1,3.6,4,0,0,84.0,enterprise_trial
2024-04-15,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,6,5.9,25,10.2,6,45,13.3,3294,1,0,0,0,0,,,2,0,,24.0,campaign_api_monitoring
2024-04-22,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,23,52.9,250,20.6,23,45,51.1,84276,24,6,1,1,10,91.3,4.1,4,0,0,92.0,enterprise_trial
2024-04-22,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,5.6,40,7.1,6,45,13.3,2485,1,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-04-29,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,21,46.9,211,24.1,25,45,55.6,71779,24,6,1,0,10,89.1,3.8,4,0,0,84.0,
2024-04-29,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,3.5,16,10.9,5,45,11.1,4151,2,0,0,0,0,,,2,0,,28.0,campaign_api_monitoring
2024-05-06,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,19,42.4,170,16.9,25,45,55.6,83698,25,6,1,0,7,94.6,4.0,4,1,0,76.0,
2024-05-06,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,8,7.4,14,7.7,6,45,13.3,4728,1,0,0,0,0,,,2,0,,32.0,campaign_api_monitoring
2024-05-13,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,22,47.8,216,19.3,25,45,55.6,82382,24,5,2,0,10,82.0,3.2,5,1,0,88.0,
2024-05-13,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,5.1,34,13.3,6,45,13.3,2966,1,0,0,0,0,,,2,0,,28.0,campaign_api_monitoring
2024-05-20,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,22,58.1,268,16.8,27,45,60.0,94473,25,3,1,0,9,87.1,3.2,5,0,0,88.0,
2024-05-20,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,4.5,32,7.6,5,45,11.1,2158,2,0,0,0,0,,,2,0,,28.0,campaign_api_monitoring
2024-05-27,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,20,45.4,207,20.0,26,45,57.8,74524,26,3,0,0,10,82.8,3.4,5,3,0,80.0,
2024-05-27,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,8,3.9,37,10.6,6,45,13.3,1740,2,0,0,0,0,,,2,0,,32.0,campaign_api_monitoring
2024-06-03,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,21,42.0,200,18.1,26,45,57.8,78608,27,8,5,0,8,82.9,3.6,5,0,0,84.0,
2024-06-03,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,10,8.9,38,11.8,7,45,15.6,2404,2,0,0,0,0,,,2,0,,40.0,campaign_api_monitoring
2024-06-10,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,20,51.5,234,20.7,27,45,60.0,98277,29,6,2,0,7,80.9,3.9,5,1,0,80.0,
2024-06-10,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,10,7.1,28,7.6,7,45,15.6,7132,2,0,0,0,0,,,2,0,,40.0,campaign_api_monitoring
2024-06-17,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,21,38.7,307,20.2,28,45,62.2,103895,28,6,4,0,10,88.1,3.6,5,0,0,84.0,
2024-06-17,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,8,9.2,18,6.6,6,45,13.3,6010,2,0,0,0,0,,,2,0,,32.0,campaign_api_monitoring
2024-06-24,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,22,54.7,194,,28,45,62.2,85946,29,5,2,0,9,93.1,3.3,6,1,0,88.0,session_duration_not_recorded
2024-06-24,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,12,14.2,26,12.0,7,45,15.6,3572,2,0,0,0,0,,,2,0,,48.0,campaign_api_monitoring
2024-07-01,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,17,25.8,141,19.1,30,45,66.7,74784,28,10,2,0,11,90.4,3.1,6,0,0,68.0,
2024-07-01,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,8.9,19,5.7,7,45,15.6,4905,2,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-07-08,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,17,29.5,187,17.9,31,45,68.9,68667,30,8,2,0,11,82.4,2.9,6,0,0,68.0,
2024-07-08,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,8.3,19,9.6,8,45,17.8,3809,2,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-07-15,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,16,26.1,203,21.9,28,45,62.2,86186,30,6,1,0,11,90.5,3.8,6,1,0,64.0,
2024-07-15,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,7.3,38,8.5,6,45,13.3,4061,2,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-07-22,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,19,34.0,226,22.8,29,45,64.4,88643,32,9,2,0,11,83.7,3.2,6,3,0,76.0,
2024-07-22,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,7.1,32,6.6,8,45,17.8,3268,2,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-07-29,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,17,33.5,152,24.7,29,45,64.4,78723,31,8,5,0,11,85.8,3.0,6,0,0,68.0,
2024-07-29,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,5.5,26,5.1,9,45,20.0,3661,2,0,0,0,0,,,2,0,,28.0,campaign_api_monitoring
2024-08-05,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,18,31.1,243,25.4,28,45,62.2,74262,32,4,3,0,11,81.1,3.4,6,0,0,72.0,
2024-08-05,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,8,5.0,21,11.3,9,45,20.0,9999999,2,0,0,0,0,,,2,0,,32.0,data_pipeline_anomaly_suspected
2024-08-12,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,18,32.3,214,23.5,30,45,66.7,74023,32,6,0,0,11,89.0,3.6,7,0,0,72.0,
2024-08-12,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,8,5.6,18,6.9,8,45,17.8,2623,2,0,0,0,0,,,2,0,,32.0,campaign_api_monitoring
2024-08-19,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,16,32.3,201,20.7,29,45,64.4,85968,36,9,4,0,11,89.1,3.1,6,0,0,64.0,
2024-08-19,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,6.7,30,12.1,9,45,20.0,3500,2,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-08-26,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,17,30.2,178,23.1,30,45,66.7,100149,36,5,3,0,12,82.1,3.4,7,2,0,68.0,
2024-08-26,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,9.1,31,11.2,7,45,15.6,3473,2,0,0,0,0,,,2,0,,28.0,campaign_api_monitoring
2024-09-02,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,21,41.6,237,25.9,34,45,75.6,115562,34,4,3,0,9,90.9,3.1,7,2,0,84.0,
2024-09-02,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,5.5,28,6.6,7,45,15.6,5196,2,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-09-09,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,23,59.5,276,20.4,34,45,75.6,104348,36,5,0,0,11,77.6,3.3,7,0,0,92.0,
2024-09-09,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,11,8.2,38,6.6,7,45,15.6,6833,2,0,0,0,0,,,2,0,,44.0,campaign_api_monitoring
2024-09-16,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,22,49.2,254,24.4,36,45,80.0,124596,36,10,4,0,13,91.1,3.6,7,0,0,88.0,
2024-09-16,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,10,10.8,50,10.9,9,45,20.0,4217,2,0,0,0,0,,,2,0,,40.0,campaign_api_monitoring
2024-09-23,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,20,51.8,260,18.8,35,45,77.8,101695,36,5,0,0,13,79.8,3.4,7,1,0,80.0,
2024-09-23,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,10,7.3,50,6.1,9,45,20.0,3943,2,0,0,0,0,,,2,0,,40.0,campaign_api_monitoring
2024-09-30,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,22,40.8,306,18.8,34,45,75.6,120735,36,7,3,0,10,83.1,2.8,7,0,0,88.0,
2024-09-30,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,10,8.0,21,12.7,8,45,17.8,7577,2,0,0,0,0,,,2,0,,40.0,campaign_api_monitoring
2024-10-07,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,23,41.1,313,27.0,36,45,80.0,112490,41,9,3,0,11,84.9,3.0,7,1,0,92.0,
2024-10-07,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,8,3.1,32,10.8,8,45,17.8,2968,2,0,0,0,0,,,2,0,,32.0,campaign_api_monitoring
2024-10-14,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,20,37.2,211,25.0,35,45,77.8,107406,38,9,2,0,10,83.7,3.2,8,0,0,80.0,
2024-10-14,MERID-001,Meridian Health,Enginering,Lisa Huang,API Monitoring,growth,25,10,5.3,25,14.5,9,45,20.0,4555,3,0,0,0,0,,,2,0,,40.0,dept_name_typo_in_source
2024-10-21,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,growth,25,21,48.6,258,24.8,38,45,84.4,132873,40,14,0,0,12,88.6,3.4,8,0,0,84.0,
2024-10-21,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,10,9.6,46,9.4,10,45,22.2,4728,2,0,0,0,0,,,2,0,,40.0,campaign_api_monitoring
2024-10-28,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,growth,25,22,46.3,269,21.9,37,45,82.2,114582,40,9,0,0,13,88.2,2.9,8,0,0,88.0,
2024-10-28,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,10,8.3,22,9.4,9,45,20.0,6365,2,0,0,0,0,,,2,0,,40.0,campaign_api_monitoring
2024-11-04,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,growth,25,21,51.7,215,18.8,39,45,86.7,137270,42,11,2,1,11,79.0,3.1,8,1,0,84.0,
2024-11-04,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,3.7,30,5.9,9,45,20.0,7161,2,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-11-11,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,growth,25,21,42.5,274,20.6,39,45,86.7,135351,43,14,0,0,9,72.8,2.7,8,2,0,84.0,
2024-11-11,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,4.7,21,12.0,8,45,17.8,2003,3,0,0,0,0,,,2,0,,28.0,campaign_api_monitoring
2024-11-18,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,growth,25,21,36.3,218,22.2,40,45,88.9,117763,44,7,4,0,11,85.9,2.8,9,1,0,84.0,
2024-11-18,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,8.3,25,9.2,10,45,22.2,1843,3,0,0,0,0,,,2,0,,28.0,campaign_api_monitoring
2024-11-25,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,growth,25,20,39.2,171,20.4,38,45,84.4,127548,43,4,0,0,11,76.8,2.8,8,4,0,80.0,
2024-11-25,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,4.2,20,5.3,9,45,20.0,2852,2,0,0,0,0,,,1,0,,28.0,campaign_api_monitoring
2024-12-02,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,23,47.9,279,21.9,36,62,58.1,140643,46,5,1,0,14,76.5,3.1,9,0,0,92.0,
2024-12-02,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,12,10,5.0,38,10.7,11,45,24.4,5167,2,0,0,0,0,,,2,0,,83.3,campaign_api_monitoring
2024-12-09,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,22,53.5,213,23.4,34,62,54.8,128669,47,13,3,0,13,72.9,3.1,9,0,0,88.0,
2024-12-09,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,12,9,11.4,31,12.3,8,45,17.8,3210,2,0,0,0,0,,,2,0,,75.0,campaign_api_monitoring
2024-12-16,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,20,36.8,243,27.8,33,62,53.2,122548,45,6,3,0,11,84.0,2.5,9,1,0,80.0,
2024-12-16,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,12,9,4.2,39,6.5,8,45,17.8,5115,2,0,0,0,0,,,2,0,,75.0,campaign_api_monitoring
2024-12-23,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,12,14.3,114,20.8,34,62,54.8,71317,45,14,3,0,11,84.3,3.0,9,1,0,48.0,
2024-12-23,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,12,5,2.3,13,8.7,8,45,17.8,1034,3,0,0,0,0,,,2,0,,41.7,campaign_api_monitoring
2024-12-30,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,11,11.7,95,20.4,38,62,61.3,83206,47,11,4,0,10,82.6,2.7,9,0,0,44.0,
2024-12-30,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,12,6,4.3,15,10.8,11,45,24.4,807,3,0,0,0,0,,,1,0,,50.0,campaign_api_monitoring
2025-01-06,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,23,53.3,268,26.9,36,62,58.1,128251,48,10,0,0,10,75.8,2.6,10,0,0,92.0,
2025-01-06,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,12,9,6.3,47,7.1,11,45,24.4,8093,3,0,0,0,0,,,2,0,,75.0,campaign_api_monitoring
2025-01-13,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,22,30.1,147,27.7,34,62,54.8,88638,47,14,1,1,14,114.7,4.6,10,0,0,88.0,outage_week
2025-01-13,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,12,10,5.2,41,9.9,10,45,22.2,4359,2,0,0,0,0,,,2,0,,83.3,campaign_api_monitoring
2025-01-20,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,21,44.4,224,28.3,35,62,56.5,143557,47,10,0,0,14,73.4,2.9,10,0,0,84.0,
2025-01-20,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,12,9,5.6,19,14.4,10,45,22.2,2082,3,0,0,0,0,,,1,0,,75.0,campaign_api_monitoring
2025-01-27,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,23,44.0,193,23.7,38,62,61.3,143986,47,10,0,0,13,75.4,3.1,10,0,0,92.0,
2025-01-27,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,12,8,7.0,34,12.4,10,45,22.2,3069,3,0,0,0,0,,,2,0,,66.7,campaign_api_monitoring
2025-02-03,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,22,52.3,346,20.8,39,62,62.9,142996,49,14,2,0,12,69.8,2.4,10,1,0,88.0,
2025-02-03,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,12,10,4.7,35,7.5,9,45,20.0,6948,3,0,0,0,0,,,2,0,,83.3,campaign_api_monitoring
2025-02-10,MERID-001,Meridian Health,Engineering,David Wu,API Monitoring,enterprise,25,20,41.7,219,26.8,39,62,62.9,125421,52,12,4,0,11,70.8,2.9,10,1,0,80.0,
